Education,JoiningYear,City,PaymentTier,Age,Gender,EverBenched,ExperienceInCurrentDomain,LeaveOrNot,EmployeeID
Bachelors,2017,Pune,2,26,Male,No,4,0,1993
Bachelors,2012,Bangalore,1,28,Female,No,3,0,121
Bachelors,2014,Bangalore,3,25,Female,No,3,0,1017
Bachelors,2012,Bangalore,3,41,Male,No,3,0,3056
Bachelors,2012,Bangalore,3,29,Female,No,1,0,2440
Bachelors,2013,New Delhi,3,37,Female,No,1,0,3286
Bachelors,2013,Pune,3,27,Male,No,5,0,2667
Bachelors,2016,Bangalore,3,27,Male,No,5,0,2728
Bachelors,2015,Pune,2,26,Female,Yes,4,1,2980
Masters,2012,New Delhi,3,26,Female,No,4,1,1156
Bachelors,2013,Pune,3,40,Female,No,1,1,4296
Bachelors,2017,New Delhi,3,25,Female,No,3,0,3995
Bachelors,2018,Pune,3,26,Male,No,4,1,2023
PHD,2015,Pune,2,35,Female,No,0,0,4474
Bachelors,2018,Bangalore,3,30,Male,No,2,1,2073
Masters,2017,Bangalore,2,24,Female,No,2,0,1822
Bachelors,2013,Bangalore,3,32,Female,No,4,0,3186
Bachelors,2018,Bangalore,3,26,Female,No,4,1,1715
PHD,2013,New Delhi,3,23,Male,No,1,0,4315
Bachelors,2013,New Delhi,3,41,Female,No,4,0,3032
Bachelors,2014,Pune,2,26,Female,No,4,1,204
Bachelors,2012,Pune,3,31,Female,No,5,0,3264
Masters,2015,New Delhi,2,26,Female,No,4,0,2137
Bachelors,2016,Pune,3,28,Male,No,3,0,624
Masters,2018,New Delhi,3,23,Female,No,1,1,4083
Bachelors,2014,Bangalore,3,30,Male,No,2,1,2361
Bachelors,2013,Bangalore,3,26,Male,No,4,0,1606
Bachelors,2015,Pune,2,27,Female,No,5,1,2125
Masters,2015,Pune,2,29,Female,No,1,0,2405
Bachelors,2016,New Delhi,3,26,Female,No,4,0,1832
Bachelors,2017,Bangalore,3,28,Male,Yes,3,0,465
Bachelors,2014,New Delhi,3,28,Female,No,3,0,622
Bachelors,2013,Bangalore,3,38,Female,No,4,0,3463
Masters,2015,Pune,2,24,Female,No,2,1,1259
Bachelors,2014,Pune,3,30,Male,No,2,0,2011
Bachelors,2012,Bangalore,3,27,Male,No,5,0,1463
Bachelors,2016,Pune,2,27,Female,No,5,1,1216
Bachelors,2016,Bangalore,3,37,Male,No,2,0,27
Masters,2017,New Delhi,2,31,Male,No,4,1,3068
Bachelors,2012,Pune,3,26,Male,No,4,0,1624
Bachelors,2017,Bangalore,3,24,Male,No,2,0,527
Bachelors,2018,Pune,3,26,Male,No,4,1,685
Bachelors,2015,Pune,2,26,Female,No,4,1,2557
Bachelors,2013,Bangalore,3,24,Male,Yes,2,0,1507
Bachelors,2013,Bangalore,3,35,Male,No,3,1,3418
Bachelors,2018,New Delhi,3,29,Female,No,2,1,2623
Bachelors,2013,Bangalore,3,25,Male,No,3,0,602
Bachelors,2012,Bangalore,3,28,Female,No,1,0,2179
Masters,2017,New Delhi,2,24,Male,No,2,0,135
Bachelors,2016,Bangalore,3,39,Female,No,1,0,3093
Bachelors,2018,Bangalore,3,30,Male,Yes,1,1,2469
Bachelors,2018,Pune,3,25,Male,Yes,3,1,327
Bachelors,2014,Bangalore,3,39,Female,No,1,0,4252
Bachelors,2016,New Delhi,1,25,Female,Yes,3,0,4542
Bachelors,2017,New Delhi,3,24,Female,No,2,0,1838
Bachelors,2017,Pune,2,27,Female,No,5,1,112
Bachelors,2014,Bangalore,3,29,Female,No,1,0,2271
Bachelors,2017,Bangalore,3,35,Female,No,5,0,3306
Bachelors,2013,Bangalore,3,26,Male,No,4,0,4245
Masters,2017,New Delhi,2,25,Female,No,3,0,1244
Bachelors,2012,New Delhi,3,27,Female,No,5,0,2340
Bachelors,2015,Bangalore,3,29,Male,No,1,0,2740
Bachelors,2017,New Delhi,1,28,Female,No,2,0,366
Bachelors,2013,Bangalore,3,26,Female,No,4,0,2968
Bachelors,2015,Bangalore,3,28,Male,No,2,0,2044
Bachelors,2015,New Delhi,3,25,Female,No,3,0,123
Masters,2017,New Delhi,2,40,Female,No,2,0,3673
Bachelors,2017,New Delhi,2,36,Male,No,0,0,3255
Bachelors,2012,Pune,1,27,Female,No,5,1,1050
Bachelors,2014,Bangalore,1,28,Female,No,5,0,2969
Bachelors,2015,Bangalore,3,30,Male,No,1,0,2319
Bachelors,2016,Pune,3,27,Male,No,5,0,2660
Bachelors,2014,New Delhi,3,27,Female,No,5,0,1711
Bachelors,2014,Bangalore,1,34,Female,No,5,0,3678
Masters,2017,New Delhi,3,40,Female,No,0,0,3383
Bachelors,2016,Bangalore,3,39,Male,No,4,0,3741
Bachelors,2012,Bangalore,3,27,Male,No,5,0,425
Bachelors,2014,New Delhi,3,28,Male,No,0,0,68
Bachelors,2014,Bangalore,1,28,Male,No,1,0,2476
Bachelors,2018,Pune,3,32,Female,No,1,1,4299
Bachelors,2013,Bangalore,3,32,Male,No,5,0,3067
PHD,2015,Pune,2,28,Female,No,1,0,924
Masters,2014,New Delhi,3,26,Male,No,4,0,1972
Bachelors,2015,New Delhi,3,26,Female,No,4,0,2264
Masters,2013,Bangalore,2,29,Female,No,2,1,2317
Bachelors,2016,Pune,2,28,Female,No,4,1,1046
Bachelors,2013,Bangalore,3,27,Male,No,5,0,340
Bachelors,2014,New Delhi,3,33,Male,No,3,0,3540
Bachelors,2017,Bangalore,3,41,Male,No,5,1,3526
Bachelors,2015,Pune,3,34,Male,No,4,0,3203
Bachelors,2014,Bangalore,3,38,Male,No,0,0,3311
Bachelors,2015,Pune,1,34,Female,No,3,1,3762
PHD,2012,New Delhi,3,28,Female,No,1,0,1344
Bachelors,2018,Bangalore,3,26,Female,No,4,1,2365
Bachelors,2017,Bangalore,3,24,Female,No,2,0,562
Bachelors,2012,Bangalore,3,28,Male,No,0,1,2731
Masters,2017,Pune,2,24,Male,No,2,1,186
Masters,2017,New Delhi,3,26,Female,No,4,1,103
Bachelors,2018,Bangalore,3,29,Male,No,0,1,2624
Bachelors,2017,Bangalore,3,24,Female,No,2,0,1739
Bachelors,2017,Pune,2,28,Male,No,0,1,1470
Masters,2017,Pune,2,27,Male,No,5,0,2743
Bachelors,2013,Pune,2,28,Female,No,3,1,243
Bachelors,2013,Bangalore,3,26,Male,Yes,4,0,4344
Masters,2017,New Delhi,3,24,Male,No,2,0,1036
Bachelors,2017,Bangalore,1,34,Male,Yes,0,0,4068
Bachelors,2012,Bangalore,3,27,Male,No,5,0,1391
Masters,2014,Pune,3,40,Male,No,4,1,3218
Bachelors,2014,Bangalore,3,26,Male,No,4,0,706
Bachelors,2012,Bangalore,3,36,Male,No,1,0,3934
Bachelors,2014,Bangalore,3,33,Male,No,5,1,3546
Bachelors,2015,Bangalore,3,38,Male,No,5,0,3829
Bachelors,2013,Bangalore,3,31,Female,No,5,0,4644
Bachelors,2013,New Delhi,3,37,Male,No,2,0,3156
Masters,2017,Pune,2,41,Male,Yes,2,0,3111
Bachelors,2015,Pune,3,36,Male,No,3,0,4530
Bachelors,2012,Bangalore,3,33,Male,No,1,0,3957
Masters,2017,Pune,2,24,Female,No,2,1,429
Bachelors,2017,Bangalore,3,26,Male,No,4,0,650
Bachelors,2012,New Delhi,1,31,Female,No,3,0,4214
Bachelors,2017,New Delhi,2,27,Male,No,5,0,601
Bachelors,2015,Pune,2,33,Female,No,2,1,4346
Bachelors,2013,Bangalore,3,30,Male,Yes,0,0,2763
Bachelors,2013,Bangalore,3,27,Male,No,5,0,733
PHD,2014,Bangalore,3,38,Female,No,3,0,3288
Bachelors,2015,Bangalore,3,26,Male,No,4,0,703
PHD,2012,New Delhi,3,24,Male,No,2,0,741
Bachelors,2014,Bangalore,3,26,Male,No,4,0,1792
Bachelors,2016,Pune,3,24,Male,No,2,0,1546
Masters,2018,New Delhi,3,41,Male,No,2,1,3084
Bachelors,2018,Bangalore,3,23,Female,No,1,1,71
PHD,2015,New Delhi,2,27,Female,No,5,0,2977
Bachelors,2014,Bangalore,3,25,Male,No,3,0,245
Masters,2014,New Delhi,3,40,Male,No,5,0,3774
Masters,2017,New Delhi,3,24,Female,No,2,1,1218
Masters,2017,Pune,2,27,Female,No,5,0,1830
Bachelors,2017,Pune,2,40,Male,No,4,0,3882
Masters,2017,Pune,2,30,Male,No,0,0,2524
Masters,2015,Pune,3,28,Female,Yes,2,0,546
Masters,2017,Bangalore,2,32,Male,No,2,0,3647
Bachelors,2014,Bangalore,3,28,Female,No,3,0,1140
Bachelors,2015,New Delhi,3,25,Female,Yes,3,0,4091
Bachelors,2015,Bangalore,3,26,Male,No,4,0,2729
Masters,2016,New Delhi,3,30,Male,No,2,0,2783
Bachelors,2013,Bangalore,3,32,Female,No,4,0,3186
Masters,2017,New Delhi,2,35,Male,Yes,2,0,3061
Bachelors,2018,Bangalore,3,27,Male,Yes,5,1,1931
Bachelors,2015,Pune,2,27,Female,No,5,1,814
Bachelors,2017,Pune,3,38,Male,Yes,5,0,3941
Bachelors,2014,Pune,3,34,Male,No,3,0,3007
Bachelors,2012,Bangalore,3,26,Male,No,4,0,1705
PHD,2013,New Delhi,3,30,Male,No,1,0,2260
Bachelors,2012,Bangalore,3,27,Female,No,5,0,2584
Masters,2016,New Delhi,3,30,Male,No,3,0,2867
Masters,2017,New Delhi,2,37,Female,No,2,0,3778
Bachelors,2016,Pune,3,30,Male,No,1,0,2066
Bachelors,2018,Bangalore,3,32,Female,Yes,2,1,3025
Bachelors,2016,Bangalore,3,28,Male,No,3,0,160
Bachelors,2018,Bangalore,3,27,Female,Yes,5,1,1362
Bachelors,2012,Bangalore,3,27,Male,No,5,0,2468
Masters,2013,New Delhi,3,41,Female,No,2,0,3809
Bachelors,2016,Bangalore,3,41,Male,No,2,0,3681
Masters,2017,New Delhi,2,31,Male,No,1,0,3196
Bachelors,2014,Pune,2,28,Female,No,1,1,1921
Bachelors,2015,Pune,2,24,Female,No,2,1,1382
Bachelors,2017,Bangalore,3,26,Male,No,4,0,450
Bachelors,2018,Bangalore,3,38,Male,Yes,1,1,3576
Bachelors,2015,Pune,2,26,Female,Yes,4,1,414
Bachelors,2015,Bangalore,3,28,Male,No,2,0,408
Masters,2018,Bangalore,3,28,Female,No,2,1,2187
Bachelors,2016,New Delhi,3,26,Female,No,4,0,4360
Bachelors,2018,Bangalore,1,27,Male,No,5,0,596
Masters,2014,New Delhi,3,24,Male,No,2,1,740
Bachelors,2017,New Delhi,3,27,Male,No,5,0,2702
Bachelors,2017,Bangalore,3,40,Female,No,3,0,3693
Bachelors,2016,Pune,2,24,Female,No,2,1,155
Bachelors,2016,Bangalore,3,38,Male,No,2,1,3662
Masters,2017,Bangalore,2,27,Male,No,5,1,2938
Bachelors,2017,Pune,2,30,Female,No,2,1,2228
Bachelors,2015,Bangalore,3,30,Male,No,3,0,2635
Bachelors,2014,Bangalore,3,38,Male,No,2,0,4466
Bachelors,2017,Bangalore,3,31,Male,No,0,0,3715
Bachelors,2016,Bangalore,3,24,Male,No,2,0,4364
Bachelors,2017,Bangalore,3,25,Male,Yes,3,0,949
Bachelors,2016,Pune,3,27,Male,Yes,5,0,443
Bachelors,2016,Bangalore,3,27,Female,No,5,1,2236
Bachelors,2014,Pune,1,22,Female,No,0,1,4573
Bachelors,2014,Pune,3,28,Male,No,1,0,2486
Bachelors,2015,Bangalore,3,28,Male,Yes,2,0,199
Masters,2017,New Delhi,2,29,Female,No,2,0,2525
Bachelors,2015,Bangalore,3,26,Male,No,4,1,1720
Bachelors,2015,Bangalore,3,28,Female,No,2,0,2306
Bachelors,2018,Bangalore,3,28,Male,No,1,1,2598
Bachelors,2016,Pune,2,24,Female,No,2,1,1349
Bachelors,2014,Bangalore,3,26,Male,No,4,0,2514
Bachelors,2014,Bangalore,3,27,Male,No,5,0,2444
Bachelors,2012,Bangalore,3,27,Female,No,5,0,756
Bachelors,2018,Pune,2,28,Female,No,2,1,2159
PHD,2012,Bangalore,3,30,Female,No,4,0,4628
Bachelors,2014,Pune,3,25,Male,No,3,0,1468
Bachelors,2018,Bangalore,3,25,Male,Yes,3,1,925
Bachelors,2013,Bangalore,3,26,Male,No,4,0,2986
PHD,2016,New Delhi,3,27,Female,No,5,0,1522
Bachelors,2015,Bangalore,3,28,Female,No,2,0,2306
Masters,2017,New Delhi,2,27,Female,No,5,1,2627
Bachelors,2013,Bangalore,3,32,Female,No,4,0,3186
Bachelors,2012,New Delhi,2,33,Female,No,0,1,3287
Bachelors,2017,New Delhi,2,25,Female,No,3,0,811
Bachelors,2017,Pune,3,34,Female,No,1,0,3801
Masters,2017,Pune,2,27,Female,No,5,1,4180
Bachelors,2018,Bangalore,3,24,Male,No,2,1,1447
PHD,2018,New Delhi,3,37,Female,No,2,1,3360
Bachelors,2015,Bangalore,3,30,Male,No,0,0,2495
Bachelors,2015,Pune,3,27,Male,No,5,0,128
Bachelors,2016,Pune,3,39,Male,No,5,0,3113
Bachelors,2012,Bangalore,3,33,Male,No,0,0,3750
Bachelors,2014,New Delhi,3,33,Male,No,3,0,3540
Bachelors,2016,Bangalore,3,23,Male,No,1,0,4541
Bachelors,2014,Pune,2,26,Male,No,4,0,394
Bachelors,2017,New Delhi,2,28,Male,No,1,0,293
Bachelors,2017,New Delhi,3,25,Female,No,3,0,1679
Bachelors,2015,Bangalore,3,32,Male,No,1,0,4073
Masters,2017,New Delhi,3,29,Male,No,2,0,2211
Bachelors,2016,Bangalore,3,26,Male,No,4,0,1930
Bachelors,2013,Pune,2,25,Female,No,3,1,219
Bachelors,2015,Bangalore,3,31,Female,No,5,0,3871
Masters,2017,New Delhi,2,36,Female,No,3,0,4421
Bachelors,2013,Bangalore,3,27,Male,No,5,0,340
Bachelors,2016,Bangalore,3,27,Male,No,5,1,1622
Masters,2017,New Delhi,2,28,Female,No,2,0,2847
Bachelors,2017,New Delhi,2,24,Male,No,2,0,403
Masters,2017,New Delhi,2,27,Male,No,5,1,2395
Bachelors,2016,Bangalore,3,34,Male,No,4,0,3960
Bachelors,2012,Pune,3,26,Male,No,4,0,353
Bachelors,2018,New Delhi,3,26,Female,Yes,4,1,376
Bachelors,2017,New Delhi,2,25,Female,No,3,0,1324
Bachelors,2013,Bangalore,2,38,Female,No,1,1,3291
Bachelors,2015,New Delhi,3,40,Female,No,1,0,3795
Bachelors,2013,Bangalore,3,35,Male,No,0,1,3451
Bachelors,2012,Pune,3,24,Female,No,2,1,1878
Bachelors,2014,Pune,3,28,Male,No,1,0,2486
Masters,2017,Pune,2,26,Male,No,4,0,357
Masters,2018,New Delhi,3,25,Male,No,3,1,532
Bachelors,2017,Bangalore,3,26,Male,No,4,0,674
Bachelors,2016,Bangalore,3,33,Male,No,6,0,3964
Bachelors,2014,Bangalore,3,39,Female,No,4,0,3850
Bachelors,2016,Pune,3,28,Female,No,4,1,1717
Bachelors,2017,Bangalore,3,28,Female,Yes,5,0,1407
Bachelors,2015,Bangalore,3,26,Female,No,4,1,839
Bachelors,2012,Bangalore,3,28,Male,No,1,0,2229
Bachelors,2016,Bangalore,3,37,Male,No,4,0,3764
Bachelors,2018,New Delhi,3,28,Female,No,5,1,1429
Masters,2018,New Delhi,3,41,Male,No,2,1,3084
Bachelors,2018,Pune,2,34,Female,No,4,1,4368
Bachelors,2018,Pune,3,25,Female,No,3,1,1446
Bachelors,2014,New Delhi,3,28,Female,No,2,0,2046
Bachelors,2013,Bangalore,3,25,Male,Yes,3,1,1476
Bachelors,2013,Bangalore,3,36,Male,No,4,0,3023
PHD,2014,Bangalore,3,28,Female,No,0,0,1758
Masters,2017,Bangalore,2,25,Female,Yes,3,1,816
Masters,2012,New Delhi,3,34,Female,No,3,0,3905
Masters,2017,Pune,2,27,Female,No,5,1,4180
Bachelors,2014,Bangalore,3,24,Male,No,2,0,1482
